Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,update_date
1.0,Luka Dončić,26.0,LAL,PG,31.0,31.0,36.4,10.4,22.4,0.464,3.3,10.2,0.327,7.1,12.2,0.578,0.538,9.3,11.8,0.79,0.9,6.9,7.9,8.8,1.6,0.5,4.6,2.7,33.4,,2026-01-14
2.0,Shai Gilgeous-Alexander,27.0,OKC,PG,39.0,39.0,33.3,10.9,19.9,0.545,2.0,5.0,0.393,8.9,14.9,0.596,0.594,8.2,9.3,0.886,0.4,4.1,4.5,6.4,1.4,0.8,1.9,2.1,31.9,,2026-01-14
3.0,Tyrese Maxey,25.0,PHI,PG,36.0,36.0,39.6,10.8,22.4,0.48,3.8,9.2,0.409,7.0,13.3,0.528,0.563,5.7,6.5,0.876,0.3,4.2,4.5,6.7,1.9,0.9,2.6,2.2,30.9,,2026-01-14
4.0,Nikola Jokić,30.0,DEN,C,32.0,32.0,34.6,10.6,17.5,0.605,2.1,4.8,0.435,8.5,12.7,0.67,0.665,6.3,7.4,0.853,3.0,9.1,12.2,11.0,1.4,0.8,3.5,2.8,29.6,,2026-01-14
5.0,Jaylen Brown,29.0,BOS,SF,36.0,36.0,34.3,10.9,21.9,0.495,2.2,5.8,0.376,8.7,16.1,0.538,0.545,5.6,7.2,0.779,1.2,5.3,6.4,5.0,1.0,0.4,3.8,3.1,29.5,,2026-01-14
6.0,Donovan Mitchell,29.0,CLE,SG,37.0,37.0,33.8,10.3,20.9,0.492,3.9,10.0,0.386,6.4,10.9,0.589,0.585,5.1,6.0,0.842,0.8,3.8,4.7,5.5,1.5,0.3,3.0,2.6,29.5,,2026-01-14
7.0,Giannis Antetokounmpo,31.0,MIL,PF,26.0,26.0,29.3,11.1,17.1,0.649,0.5,1.4,0.389,10.5,15.7,0.672,0.664,6.4,9.8,0.651,2.9,6.8,9.7,5.7,0.9,0.8,3.3,2.7,29.1,,2026-01-14
8.0,Jalen Brunson,29.0,NYK,PG,36.0,36.0,35.3,10.3,21.4,0.481,3.1,7.9,0.389,7.2,13.5,0.534,0.553,5.3,6.2,0.852,0.6,2.8,3.3,6.3,0.7,0.1,2.3,2.5,28.9,,2026-01-14
9.0,Anthony Edwards,24.0,MIN,SG,33.0,33.0,34.9,10.0,19.9,0.5,3.3,8.2,0.409,6.6,11.8,0.563,0.584,5.6,7.1,0.787,0.6,4.4,5.0,3.8,1.3,0.8,2.7,1.8,28.9,,2026-01-14
10.0,Stephen Curry,37.0,GSW,PG,31.0,31.0,31.9,9.2,19.7,0.466,4.6,11.9,0.388,4.6,7.8,0.587,0.583,5.1,5.5,0.929,0.5,3.4,3.8,4.9,1.2,0.5,2.8,2.0,28.1,,2026-01-14
11.0,Kawhi Leonard,34.0,LAC,SF,29.0,29.0,33.9,9.8,19.5,0.501,2.8,7.1,0.386,7.0,12.3,0.567,0.572,5.8,6.2,0.939,0.9,5.4,6.4,3.4,2.2,0.7,2.2,1.4,28.1,,2026-01-14
12.0,Lauri Markkanen,28.0,UTA,PF,33.0,33.0,36.0,9.5,19.7,0.483,2.9,8.0,0.365,6.6,11.7,0.563,0.557,6.0,6.8,0.884,2.0,5.2,7.2,2.2,1.0,0.5,1.6,2.0,27.9,,2026-01-14
13.0,Cade Cunningham,24.0,DET,PG,33.0,33.0,35.6,9.3,19.9,0.465,2.1,6.1,0.34,7.2,13.9,0.52,0.517,6.1,7.3,0.838,1.1,5.1,6.2,9.7,1.5,0.8,4.0,3.4,26.7,,2026-01-14
14.0,Austin Reaves,27.0,LAL,SG,23.0,22.0,35.3,8.2,16.2,0.507,2.7,7.4,0.365,5.5,8.8,0.626,0.59,7.5,8.6,0.873,0.7,4.5,5.2,6.3,1.0,0.2,3.3,2.3,26.6,,2026-01-14
15.0,Deni Avdija,25.0,POR,SF,40.0,40.0,35.4,7.9,17.0,0.468,2.3,6.5,0.355,5.6,10.5,0.537,0.535,7.9,9.9,0.801,1.0,6.1,7.1,6.9,0.9,0.6,3.9,2.8,26.1,,2026-01-14
16.0,Kevin Durant,37.0,HOU,SF,35.0,35.0,36.4,9.3,17.8,0.521,2.2,5.4,0.4,7.1,12.4,0.574,0.582,5.4,6.1,0.892,0.4,5.0,5.4,4.5,0.6,1.0,3.0,2.2,26.1,,2026-01-14
17.0,Michael Porter Jr.,27.0,BRK,SF,30.0,30.0,33.1,9.2,18.7,0.491,3.8,9.4,0.404,5.4,9.3,0.579,0.593,3.8,4.5,0.838,1.3,6.2,7.5,3.4,1.1,0.2,2.6,2.1,25.9,,2026-01-14
18.0,James Harden,36.0,LAC,PG,36.0,36.0,35.5,7.4,17.4,0.429,3.2,8.9,0.36,4.2,8.4,0.502,0.522,7.6,8.6,0.893,0.6,4.2,4.8,8.0,1.3,0.3,3.6,1.9,25.8,,2026-01-14
19.0,Jamal Murray,28.0,DEN,PG,36.0,36.0,35.5,9.1,18.8,0.482,3.5,7.8,0.448,5.6,11.1,0.505,0.574,4.0,4.5,0.889,0.5,4.1,4.6,7.5,1.0,0.3,2.3,1.5,25.6,,2026-01-14
20.0,Devin Booker,29.0,PHO,SG,37.0,37.0,34.1,8.3,18.2,0.454,1.6,5.4,0.303,6.6,12.8,0.518,0.499,7.1,8.2,0.861,0.9,3.2,4.1,6.5,0.9,0.3,3.3,2.7,25.2,,2026-01-14
21.0,Victor Wembanyama,22.0,SAS,C,26.0,17.0,29.0,8.4,16.4,0.514,1.5,4.2,0.352,7.0,12.2,0.569,0.559,5.7,6.8,0.836,1.9,9.1,11.0,3.0,0.9,2.7,2.9,2.8,24.0,,2026-01-14
22.0,Norman Powell,32.0,MIA,SG,34.0,34.0,30.8,8.0,16.4,0.485,3.1,7.4,0.414,4.9,9.1,0.542,0.578,4.9,5.7,0.855,0.4,3.4,3.8,2.7,1.3,0.2,2.0,2.3,23.9,,2026-01-14
23.0,Keyonte George,22.0,UTA,PG,38.0,38.0,34.4,7.5,16.5,0.454,2.6,6.9,0.372,4.9,9.6,0.512,0.531,6.3,7.0,0.906,0.5,3.7,4.2,6.9,1.0,0.3,3.5,2.4,23.8,,2026-01-14
24.0,Joel Embiid,31.0,PHI,C,20.0,20.0,29.5,8.1,17.1,0.472,1.0,4.2,0.229,7.1,12.9,0.55,0.5,6.7,7.9,0.847,2.0,5.1,7.1,3.3,0.7,1.2,3.0,2.4,23.7,,2026-01-14
25.0,Pascal Siakam,31.0,IND,PF,39.0,39.0,33.8,8.8,18.1,0.484,1.6,4.4,0.37,7.1,13.7,0.521,0.529,4.3,6.3,0.686,1.6,5.2,6.8,3.8,1.3,0.4,2.2,2.6,23.5,,2026-01-14
26.0,Jalen Johnson,24.0,ATL,SF,38.0,38.0,35.3,8.7,16.8,0.52,1.6,4.5,0.36,7.1,12.3,0.578,0.568,4.3,5.4,0.791,1.4,8.7,10.1,8.1,1.3,0.5,3.4,2.0,23.4,,2026-01-14
27.0,Franz Wagner,24.0,ORL,SF,24.0,24.0,33.4,7.8,15.9,0.49,1.5,4.2,0.36,6.3,11.8,0.535,0.537,5.6,6.8,0.823,1.5,4.6,6.1,3.7,1.2,0.4,1.8,2.2,22.7,,2026-01-14
28.0,LeBron James,41.0,LAL,SF,21.0,21.0,33.2,8.3,16.1,0.513,1.6,5.0,0.311,6.7,11.1,0.605,0.562,4.2,5.8,0.73,0.6,5.1,5.7,6.9,1.1,0.6,2.6,1.5,22.4,,2026-01-14
29.0,Zion Williamson,25.0,NOP,PF,26.0,19.0,29.1,8.2,14.3,0.571,0.0,0.1,0.0,8.2,14.2,0.576,0.571,6.0,8.5,0.714,2.3,3.4,5.7,3.4,1.2,0.5,2.3,2.3,22.3,,2026-01-14
30.0,Julius Randle,31.0,MIN,PF,41.0,41.0,33.4,7.7,15.6,0.494,1.6,4.8,0.338,6.1,10.9,0.562,0.545,5.2,6.4,0.803,1.7,5.5,7.1,5.7,1.0,0.1,2.5,2.7,22.2,,2026-01-14
31.0,Tyler Herro,26.0,MIA,SG,10.0,9.0,31.8,8.1,16.6,0.488,2.0,6.0,0.333,6.1,10.6,0.575,0.548,3.7,4.1,0.902,0.5,4.5,5.0,2.7,0.8,0.4,1.6,1.9,21.9,,2026-01-14
